category,run_type,is_completed,final_igt_converted,date_converted,enter_nether,goto_bastion,bart_travel,fight_blaze,eye_spy,locate_room,kill_dragon,save_path,date,final_igt,final_rta
ANY,random_seed,True,0:51:47.563,2023-01-09 22:51,843,747,618,163,183,366,177,/Instance 1/Random Speedrun #98,1673275861436,3107563,3362702
ANY,random_seed,True,1:03:30.072,2023-01-11 18:12,693,824,666,213,270,460,674,/Instance 1/Random Speedrun #173,1673431962236,3810072,4398222
ANY,set_seed,True,0:42:13.344,2023-01-15 22:09,383,229,927,295,377,141,171,/Instance 1/Set Speedrun #224,1673791799287,2533344,2740204
ANY,random_seed,True,0:38:06.714,2023-01-17 22:36,504,478,622,132,194,102,244,/Instance 1/Random Speedrun #255,1673966193346,2286714,2878351
ANY,set_seed,True,0:36:06.240,2023-02-09 23:51,310,80,542,259,106,278,581,/Instance 1/Set Speedrun #75,1675957901203,2166240,2581919
ANY,set_seed,True,0:29:34.998,2023-02-10 22:48,437,177,498,143,387,32,91,/Instance 1/Set Speedrun #1,1676040483200,1774998,2186998
ANY,set_seed,True,0:26:48.907,2023-02-17 21:48,413,57,496,181,206,39,206,/Instance 1/Set Speedrun #5,1676641692312,1608907,2017415
ANY,set_seed,False,0:23:36.525,2023-02-26 19:08,195,75,292,117,361,56,-1,/Instance 6/Set Speedrun #4,1677409689281,1416525,1701401
ANY,set_seed,True,0:24:45.583,2023-03-04 20:11,286,44,452,202,356,36,96,/Instance 6/Set Speedrun #9,1677931889585,1485583,2480263
ANY,set_seed,True,0:21:42.624,2023-04-04 21:50,104,297,218,515,287,66,230,/Instance 1/Set Speedrun #63,1680616255931,1302624,1488420
ANY,set_seed,False,0:23:08.489,2023-04-04 22:36,113,148,481,630,223,-1,-1,/Instance 1/Set Speedrun #71,1680619016895,1388489,1627298
ANY,set_seed,False,0:22:04.840,2023-04-07 21:58,100,15,287,126,303,-1,-1,/Instance 1/Set Speedrun #79,1680875914966,1324840,1615574
ANY,random_seed,True,0:29:14.974,2023-04-14 23:49,295,113,439,293,401,98,103,/Instance 2/Random Speedrun #2149,1681487343942,1754974,1913228
ANY,set_seed,True,0:15:36.859,2023-04-15 14:28,112,270,257,527,21,98,113,/Instance 6/Set Speedrun #14,1681540090762,936859,949393
ANY,random_seed,False,0:27:16.541,2023-04-15 21:54,303,74,486,225,272,-1,-1,/Instance 1/Random Speedrun #2770,1681566848904,1636541,1846758
ANY,set_seed,False,0:13:17.677,2023-04-15 22:48,145,22,186,115,224,38,-1,/Instance 6/Set Speedrun #17,1681570107383,797677,1044352
ANY,set_seed,False,0:18:52.979,2023-04-15 23:19,123,23,173,110,252,29,-1,/Instance 6/Set Speedrun #19,1681571978870,1132979,1430623
ANY,set_seed,False,0:11:05.314,2023-04-15 23:34,139,43,205,228,-1,-1,-1,/Instance 6/Set Speedrun #21,1681572869246,665314,722877
